Gender,Pedestrian_grp,Cross_Compliance,TOD,Crossing_time,Location,Cross_Speed,Age_grp
Male,Single,Yes,2024-06-15 08:30:00-09:30,22,Lal bahadur shastri chawk,1-1.2,18-39
Female,Single,Yes,2024-06-15 08:30:00-09:30,21,Lal bahadur shastri chawk,1-1.2,18-39
Male,Single,Yes,2024-06-15 08:30:00-09:30,21,Lal bahadur shastri chawk,1-1.2,18-39
Male,Group,No,2024-06-15 08:30:00-09:30,22,Lal bahadur shastri chawk,1-1.2,40-59
Female,Group,No,2024-06-15 08:30:00-09:30,28,Lal bahadur shastri chawk, < 1,40-59
Male,Group,No,2024-06-15 08:30:00-09:30,27,Lal bahadur shastri chawk, < 1,40-59
Male,Group,Yes,2024-06-15 08:30:00-09:30,28,Lal bahadur shastri chawk, < 1,40-59
Male,Single,Yes,2024-06-15 08:30:00-09:30,26,Lal bahadur shastri chawk, < 1,>60
Male,Group,Yes,2024-06-15 08:30:00-09:30,20,Lal bahadur shastri chawk,1.2-1.4,>60
Male,Group,No,2024-06-15 08:30:00-09:30,19,Lal bahadur shastri chawk,1.2-1.4,>60
Female,Single,No,2024-06-15 08:30:00-09:30,19,Lal bahadur shastri chawk,1.2-1.4,40-59
Female,Single,Yes,2024-06-15 08:30:00-09:30,14,Lal bahadur shastri chawk,>1.4,40-59
Female,Single,Yes,2024-06-15 08:30:00-09:30,17,Lal bahadur shastri chawk,>1.4,18-39
Male,Single,Yes,2024-06-15 08:30:00-09:30,16,Lal bahadur shastri chawk,>1.4,18-39
Female,Single,No,2024-06-15 08:30:00-09:30,22,Lal bahadur shastri chawk,1-1.2,18-39
Male,Group,Yes,2024-06-15 08:30:00-09:30,21,Lal bahadur shastri chawk,1-1.2,18-39
Female,Group,No,2024-06-15 08:30:00-09:30,22,Lal bahadur shastri chawk,1-1.2,18-39
Female,Single,Yes,2024-06-15 08:30:00-09:30,24,Lal bahadur shastri chawk,1-1.2,18-39
Female,Single,Yes,2024-06-15 08:30:00-09:30,21,Lal bahadur shastri chawk,1-1.2,40-59
Female,Single,Yes,2024-06-15 08:30:00-09:30,21,Lal bahadur shastri chawk,1-1.2,40-59
Female,Single,Yes,2024-06-15 08:30:00-09:30,19,Lal bahadur shastri chawk,1.2-1.4,40-59
Male,Single,No,2024-06-15 08:30:00-09:30,18,Lal bahadur shastri chawk,1.2-1.4,40-59
Female,Group,Yes,2024-06-15 08:30:00-09:30,19,Lal bahadur shastri chawk,1.2-1.4,>60
Male,Group,Yes,2024-06-15 08:30:00-09:30,19,Lal bahadur shastri chawk,1.2-1.4,>60
Male,Single,Yes,2024-06-15 08:30:00-09:30,19,Lal bahadur shastri chawk,1.2-1.4,>60
